,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
71,John Wick: Chapter 2,Chad Stahelski,3.7,"['Crime', 'Action', 'Thriller']",122.0,English,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.","['Thunder Road', '87Eleven', 'Summit Entertainment']",1304225,117458,333138,1800,4211,145484,86726,836051
72,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,3.95,"['Fantasy', 'Adventure', 'Action']",143.0,English,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",2447949,180229,603611,13000,5677,164229,248833,1253630
73,The Raid,Gareth Evans,4.02,"['Crime', 'Action', 'Thriller']",101.0,Indonesian,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it. But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.","['Celluloid Dreams', 'PT. Merantau Films', 'XYZ Films', 'Stage 6 Films']",315797,65372,99764,2300,838,21601,33388,225512
74,The Beyond,Lucio Fulci,3.52,['Horror'],88.0,Italian,"A young woman inherits an old hotel in Louisiana where, following a series of supernatural ""accidents"", she learns that the building was built over one of the entrances to Hell.",['Fulvia Film'],71227,42006,21632,564,658,9909,5879,52430
75,Oldboy,Park Chan-wook,4.38,"['Thriller', 'Mystery', 'Drama', 'Action']",120.0,Korean,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.","['Show East', 'Egg Film', 'Cineclick Asia']",1396966,282664,521364,45000,4388,50627,369291,1029549
76,Kingsman: The Secret Service,Matthew Vaughn,3.74,"['Comedy', 'Crime', 'Adventure', 'Action']",129.0,English,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,"['20th Century Fox', 'Marv', 'Cloudy Productions', 'TSG Entertainment']",1824988,118587,482105,8700,8280,176903,134349,1089883
77,Prometheus,Ridley Scott,3.29,"['Science Fiction', 'Horror', 'Adventure', 'Mystery']",124.0,English,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.","['Dune Entertainment', '20th Century Fox', 'Brandywine Productions', 'Scott Free Productions']",841911,128834,169659,1800,9895,143094,25752,556523
78,Groundhog Day,Harold Ramis,3.82,"['Comedy', 'Drama', 'Fantasy', 'Romance']",101.0,English,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",['Columbia Pictures'],1199423,131955,286808,5000,4824,110068,86176,666016
79,Batman Returns,Tim Burton,3.58,"['Fantasy', 'Action']",126.0,English,"Batman must face The Penguin, a sewer-dwelling gangleader intent on being accepted into Gotham society. Meanwhile, another Gotham resident finds herself transformed into Catwoman and is out for revenge...","['Warner Bros. Pictures', 'Polygram Pictures']",702090,141540,155669,2100,3404,82272,45124,390535
80,Spirited Away,Hayao Miyazaki,4.45,"['Family', 'Fantasy', 'Animation']",125.0,Japanese,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",['Studio Ghibli'],3707328,489564,1725068,107000,5597,118212,1263003,2512581
81,American Psycho,Mary Harron,3.82,"['Crime', 'Thriller', 'Horror', 'Drama']",102.0,English,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","['Lionsgate', 'Pressman Film', 'Muse Productions', 'Christian Halsey Solomon Productions']",3727510,363167,1305037,40000,17987,387539,445618,2595230
82,Pinocchio,"Hamilton Luske, Ben Sharpsteen",3.48,"['Animation', 'Fantasy', 'Family']",88.0,English,A little wooden puppet yearns to become a real boy.,['Walt Disney Productions'],778049,76987,89164,462,4982,79093,27202,300150
83,Avengers: Age of Ultron,Joss Whedon,3.15,"['Action', 'Adventure', 'Science Fiction']",141.0,English,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",['Marvel Studios'],2542809,256255,469315,2500,31041,390275,102783,1391093
84,Baby Driver,Edgar Wright,3.71,"['Crime', 'Action']",113.0,English,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","['Big Talk Studios', 'Working Title Films', 'MRC']",3353730,251802,1144573,37000,21338,407930,319913,2234654
85,The Fly,David Cronenberg,3.99,"['Science Fiction', 'Horror']",96.0,English,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.","['SLM Production Group', 'Brooksfilms']",595905,165314,183439,4400,1972,42485,63646,399341
86,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,4.0,"['Drama', 'Comedy']",120.0,English,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.","['TSG Entertainment', 'Worldview Entertainment', 'New Regency Pictures', 'M Productions', 'Le Grisbi Productions']",1465568,194672,431899,13000,11489,110540,175922,950993
87,Casino Royale,Martin Campbell,4.02,"['Thriller', 'Action', 'Adventure']",144.0,English,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.","['Metro-Goldwyn-Mayer', 'Columbia Pictures', 'EON Productions', 'Danjaq', 'Casino Royale Productions']",1135353,135339,287518,6700,2194,73797,103807,669312
88,La La Land,Damien Chazelle,4.12,"['Drama', 'Comedy', 'Music', 'Romance']",129.0,English,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.","['Summit Entertainment', 'Gilbert Films', 'Impostor Pictures', 'Marc Platt Productions']",4393174,620072,1979547,285000,44168,318158,1247654,3220252
89,Masterminds,Jared Hess,2.62,"['Action', 'Crime', 'Comedy']",95.0,English,A night guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.,"['Broadway Video', 'Relativity Media', 'Michaels-Goldwyn']",75150,8366,8929,77,2582,12391,1291,48120
90,Ferris Bueller's Day Off,John Hughes,3.94,['Comedy'],103.0,English,"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.",['Paramount Pictures'],1813441,214940,578826,33000,5834,134471,243121,1048338
91,The Edge of Seventeen,Kelly Fremon Craig,3.52,"['Drama', 'Comedy']",105.0,English,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.","['Tang Media Productions', 'Gracie Films', 'STXfilms', 'Huayi Brothers Pictures']",1092521,136119,290416,8200,8355,131953,84157,671894
92,28 Days Later,Danny Boyle,3.77,"['Horror', 'Science Fiction', 'Thriller']",113.0,English,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",['DNA Films'],856447,147383,225249,5800,3046,82945,62080,552519
93,The Lobster,Yorgos Lanthimos,3.76,"['Drama', 'Comedy', 'Romance']",119.0,English,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods.","['Scarlet Films', 'Haut et Court', 'Eurimages', 'Lemming Film', 'Element Pictures', 'Nederlands Fonds voor de Film', 'Greek Film Centre', 'Faliro House Productions', 'Limp', 'Film4 Productions', 'Protagonist Pictures']",1320448,203294,375510,12000,12546,134227,106192,929660
94,Suicide Squad,David Ayer,2.15,"['Adventure', 'Action', 'Fantasy']",122.0,English,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","['Warner Bros. Pictures', 'RatPac Entertainment', 'DC Films', 'Atlas Entertainment']",2157697,136122,223861,1600,176637,212213,50948,1220832
95,Greed,Erich von Stroheim,4.02,"['Crime', 'Drama']",140.0,No spoken language,"A lottery win of $5,000 forever changes the lives of a miner turned dentist and his wife.",['Metro-Goldwyn-Mayer'],18401,25589,4444,93,99,1186,2501,10866
96,Videodrome,David Cronenberg,3.88,"['Mystery', 'Science Fiction', 'Horror']",88.0,English,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.","['Guardian Trust Company', 'Filmplan International', 'Canadian Film Development Corporation']",394589,154006,130064,5700,1792,36677,43594,280871
